,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
54,2021-04-27 11:04:22,35-44,Media & Digital,Editor,,52000,0.0,CAD,,,Canada,,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American,41915.70912110013,11
55,2021-04-27 11:04:23,35-44,Engineering or Manufacturing,Water Resources Engineer,,106000,0.0,USD,,,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White,106000.0,11
56,2021-04-27 11:04:24,25-34,Government and Public Administration,Program Officer,,115000,0.0,USD,,,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",115000.0,5
57,2021-04-27 11:04:26,25-34,Business or Consulting,Account Supervisor,Program Manager for Government contractor,100500,3000.0,USD,,,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White,103500.0,5
58,2021-04-27 11:04:27,25-34,Law,Legal Secretary,,33200,0.0,USD,,,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White,33200.0,2
59,2021-04-27 11:04:27,35-44,Government and Public Administration,Policy Lead,Middle manager policy role in public sector.,52000,0.0,GBP,,,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White,72307.58534380866,11
60,2021-04-27 11:04:28,25-34,Education (Higher Education),Coordinator,,52000,0.0,USD,,,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White,52000.0,8
61,2021-04-27 11:04:29,25-34,Government and Public Administration,Senior Advisor,,79000,0.0,CAD,,,Canada,,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White,63679.63501090212,5
63,2021-04-27 11:04:31,25-34,Education (Primary/Secondary),Secondary School Educator,,75000,0.0,CAD,,,Canada,,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,60455.34969389441,2
65,2021-04-27 11:04:33,25-34,Education (Higher Education),Research Programmer,Software engineering without the job title,70000,0.0,USD,,"Technically 37.5 hours, but ends up being pretty similar",USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White,70000.0,2
66,2021-04-27 11:04:34,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",This is NOT a non-profit development/fundraising role.,84000,8400.0,USD,,,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White,92400.0,5
67,2021-04-27 11:04:35,35-44,Health care,AR Manager,,53000,0.0,USD,,,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White,53000.0,11
68,2021-04-27 11:04:36,25-34,Computing or Tech,Technical specialist,,34000,2000.0,USD,,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White,36000.0,5
69,2021-04-27 11:04:38,25-34,Nonprofits,Programming Coordinator,,38000,0.0,USD,,,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White,38000.0,2
70,2021-04-27 11:04:39,25-34,Government and Public Administration,City Research Scientist II,Public Health Research and Data Analysis,87000,0.0,USD,,,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White,87000.0,2
73,2021-04-27 11:04:41,25-34,Engineering or Manufacturing,Marketing Coordinator,,45000,0.0,USD,,,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White,45000.0,5
74,2021-04-27 11:04:41,35-44,Computing or Tech,Tech Writer,,88000,0.0,USD,,,USA,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer,88000.0,8
75,2021-04-27 11:04:43,35-44,Nonprofits,Supervisory Archivist,at a historical society,71000,0.0,USD,,,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White,71000.0,8
76,2021-04-27 11:04:43,45-54,Education (Higher Education),Program Manager,,71000,0.0,USD,,,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White,71000.0,11
77,2021-04-27 11:04:45,35-44,Education (Primary/Secondary),High School Teacher at an independent school,,75000,0.0,USD,,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White,75000.0,11
78,2021-04-27 11:04:48,35-44,Education (Higher Education),Manager of Market Research and Data,"My group is responsible for data gathering, analysis and reporting to state and federal stakeholders as well as strategic initiatives and grant applications. We also manage the organization's CRM system.",80000,0.0,USD,,,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White,80000.0,11
79,2021-04-27 11:04:49,35-44,Computing or Tech,Senior Business Analyst,,125000,0.0,USD,,,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,125000.0,8
80,2021-04-27 11:04:50,35-44,Education (Higher Education),Special Collections Cataloger,Tenure-track faculty,65000,0.0,USD,,,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White,65000.0,11
81,2021-04-27 11:04:52,45-54,Education (Primary/Secondary),Teacher,,36000,0.0,GBP,,,Scotland,,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White,50059.097545713696,21
82,2021-04-27 11:04:55,25-34,Nonprofits,Graphic Designer / Webmaster,,55000,0.0,USD,,,U.S.,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White,55000.0,2
84,2021-04-27 11:04:58,35-44,Engineering or Manufacturing,Senior Engineer,,105000,13000.0,USD,,,United States,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White,118000.0,5
85,2021-04-27 11:05:01,35-44,Nonprofits,Office Administrator,,60000,0.0,CAD,,,Canada,,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White,48364.27975511553,11
86,2021-04-27 11:05:01,35-44,Education (Higher Education),Digital Archivist,,65000,0.0,USD,,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White,65000.0,8
87,2021-04-27 11:05:02,25-34,Business or Consulting,Associate Program Manager,Associate Program Manager of a utility sponsored energy efficiency program,85000,8500.0,USD,,Bonuses are variable based on company's performance and the amount referenced is the full amount I'm possible to receive,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White,93500.0,2
89,2021-04-27 11:05:04,45-54,Computing or Tech,Director of Engineering,,115000,0.0,CAD,,,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White,92698.20286397144,21
91,2021-04-27 11:05:05,55-64,Business or Consulting,Senior Vice President of Marketing,,180000,60000.0,USD,,,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White,240000.0,11
92,2021-04-27 11:05:07,25-34,"Accounting, Banking & Finance",Accounting Manager,,90000,0.0,USD,,,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White,90000.0,5
93,2021-04-27 11:05:07,25-34,Government and Public Administration,Technical Assistant,Data Entry and Processing for local government,19300,0.0,GBP,,,United Kingdom,,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White,26837.238406452063,5
94,2021-04-27 11:05:07,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,,65000,5000.0,USD,,,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White,70000.0,11
95,2021-04-27 11:05:08,45-54,Computing or Tech,senior web application developer,,98166,0.0,USD,,,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White,98166.0,21
96,2021-04-27 11:05:08,25-34,Education (Primary/Secondary),Director of Development,,63500,0.0,USD,,,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White,63500.0,1
98,2021-04-27 11:05:08,25-34,Nonprofits,Program & Administrative Assistant,,47700,2000.0,USD,,,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,49700.0,2
99,2021-04-27 11:05:08,55-64,Computing or Tech,Chief Engineer,,87000,8000.0,USD,,,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White,95000.0,31
100,2021-04-27 11:05:12,35-44,Media & Digital,Production Co-ordinator,Ecomm Studio,48000,0.0,CAD,,,Canada,,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White,38691.423804092425,8
101,2021-04-27 11:05:14,25-34,Education (Higher Education),Administrative Support Assistant,,39635,305.0,USD,,,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White",39940.0,2
102,2021-04-27 11:05:14,25-34,Government and Public Administration,Administrative Officer,Budget Officer + Office Manager,53000,0.0,USD,,,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White,53000.0,5
103,2021-04-27 11:05:17,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,,47255,0.0,USD,,,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White,47255.0,21
105,2021-04-27 11:05:17,45-54,Health care,Customer Service Representative,Pharma call center,34361,0.0,USD,,,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",34361.0,11
106,2021-04-27 11:05:17,45-54,Engineering or Manufacturing,Senior Device Engineer,"develop delivery systems for pharmaceuticals (syringes, autoinjectors..)",150000,20000.0,USD,,,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White,170000.0,21
108,2021-04-27 11:05:18,35-44,Education (Higher Education),Graduate Student,,20000,0.0,USD,,Doesn't include tuition remission,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White,20000.0,2
109,2021-04-27 11:05:21,25-34,Computing or Tech,Senior Financial Analyst,,107220,16083.0,USD,,,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American,123303.0,5
110,2021-04-27 11:05:22,35-44,Government and Public Administration,Case Manager,Worker's Comp,78000,0.0,CAD,,,Canada,,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White",62873.56368165019,5
111,2021-04-27 11:05:23,45-54,Education (Higher Education),Professor,,95000,10000.0,USD,,"I am, like most professors, a ""9 month"" employee, which means that our contract year has three months ""off"" - which is when we have to do most of our research.",USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White,105000.0,11
113,2021-04-27 11:05:24,25-34,"Accounting, Banking & Finance",Finance Manager,Ad Sales,100000,5000.0,USD,,,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White,105000.0,5
114,2021-04-27 11:05:25,25-34,Computing or Tech,Software engineer,,50000,0.0,GBP,,,United Kingdom,,Nottingham,5-7 years,2 - 4 years,High School,Man,White,69526.52436904679,2
115,2021-04-27 11:05:25,35-44,Education (Higher Education),Medical Education Director,,119000,2500.0,USD,,,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White,121500.0,8
116,2021-04-27 11:05:26,45-54,"Accounting, Banking & Finance",Finance acountant,,66000,5000.0,GBP,,,UK,,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White,98727.66460404644,21
118,2021-04-27 11:05:27,25-34,Education (Higher Education),Associate Director of Donor Relations,,75000,0.0,USD,,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,75000.0,11
119,2021-04-27 11:05:28,35-44,Education (Higher Education),Assistant Professor of Law,,145000,15000.0,USD,,,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White,160000.0,2
120,2021-04-27 11:05:33,25-34,"Accounting, Banking & Finance",investment advisor,,95000,10000.0,CAD,,,Canada,,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White,84637.48957145217,2
121,2021-04-27 11:05:33,25-34,"Marketing, Advertising & PR",Content Writer,,48000,2000.0,USD,,,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White,50000.0,5
122,2021-04-27 11:05:33,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,,75000,10000.0,USD,,,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White,85000.0,21
123,2021-04-27 11:05:34,35-44,Media & Digital,Digital Marketing Specialist,,42000,0.0,USD,,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White,42000.0,11
124,2021-04-27 11:05:36,35-44,Nonprofits,Archivist,,54000,100.0,USD,,,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White,54100.0,8
125,2021-04-27 11:05:37,35-44,Education (Higher Education),Assistant Professor,,92000,0.0,CAD,,,Canada,,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White,74158.56229117715,5
126,2021-04-27 11:05:42,45-54,Government and Public Administration,Head of Public Sector Data Sharing,,50870,0.0,GBP,,,United Kingdom,,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White,70736.28589306821,11
128,2021-04-27 11:05:44,55-64,Nonprofits,Content Development Manager,,101500,0.0,USD,,,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White,101500.0,21
130,2021-04-27 11:05:45,25-34,Media & Digital,news editor,,85000,0.0,USD,,,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White,85000.0,11
131,2021-04-27 11:05:45,25-34,Education (Higher Education),Senior Administrative Assistant,,62000,0.0,USD,,,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White,62000.0,5
132,2021-04-27 11:05:46,35-44,Computing or Tech,Product Manager,,130000,0.0,USD,,,United States,,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White,130000.0,11
133,2021-04-27 11:05:46,55-64,Education (Higher Education),career services professional,,55000,0.0,USD,,,United States,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White,55000.0,21
134,2021-04-27 11:05:47,25-34,Government and Public Administration,Project Coordinator,,59015,0.0,USD,,,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White,59015.0,8
135,2021-04-27 11:05:48,25-34,Business or Consulting,"Associate Manager, Education",Beauty industry education for sales teams,71000,3000.0,USD,,,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White,74000.0,5
138,2021-04-27 11:05:49,35-44,Engineering or Manufacturing,Project Estimator,,95000,5000.0,USD,,"Bonus average was used; it varied depending on profitability.  Also, have 4 weeks PTO.",United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White,100000.0,21
140,2021-04-27 11:05:51,35-44,Nonprofits,Customer Advocate,Customer support,35000,3000.0,USD,,,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White,38000.0,11
142,2021-04-27 11:05:52,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,,56000,2500.0,USD,,,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White,58500.0,8
143,2021-04-27 11:05:52,35-44,Education (Higher Education),Associate Director,,85000,0.0,USD,,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White,85000.0,11
144,2021-04-27 11:05:52,35-44,Education (Higher Education),Editor,,62000,0.0,USD,,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White,62000.0,11
145,2021-04-27 11:05:53,25-34,Law,Staff Attorney,"Roughly equivalent to an Associate Attorney, but not on the partnership track.",74000,0.0,USD,,,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White,74000.0,2
146,2021-04-27 11:05:53,25-34,Nonprofits,Program Associate,,63000,1000.0,USD,,,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White,64000.0,2
148,2021-04-27 11:05:54,25-34,Education (Higher Education),English as a Second Language Teacher,,18000,0.0,EUR,,,Spain,,,8 - 10 years,5-7 years,College degree,Woman,White,21761.0754807082,5
149,2021-04-27 11:05:55,35-44,Nonprofits,Online Sales Support Manager,,86000,6000.0,USD,,,United States,,New York,11 - 20 years,8 - 10 years,College degree,Woman,White,92000.0,8
151,2021-04-27 11:05:58,35-44,Education (Higher Education),Research Technologist,,42000,0.0,USD,,,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White,42000.0,11
154,2021-04-27 11:06:01,35-44,Nonprofits,Funding Manager,grant funding (not fundraising!),54000,0.0,GBP,,,UK,,London,11 - 20 years,11 - 20 years,College degree,Woman,White,75088.64631857054,11
155,2021-04-27 11:06:02,45-54,Health care,Clinical analyst,It department- supporting clinical users of emr,100000,0.0,USD,,,Usa,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White,100000.0,11
157,2021-04-27 11:06:02,18-24,Government and Public Administration,Policy Analyst,,60129,3000.0,USD,,,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White,63129.0,1
159,2021-04-27 11:06:05,25-34,Computing or Tech,Service Designer,User research,130000,0.0,USD,,,United States,Virginia,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",130000.0,5
161,2021-04-27 11:06:06,25-34,"Accounting, Banking & Finance",Senior Accountant,,60000,0.0,USD,,,US,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White,60000.0,5
162,2021-04-27 11:06:06,35-44,Nonprofits,Administrative Assistant,,37000,0.0,USD,,,US,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White,37000.0,5
163,2021-04-27 11:06:06,25-34,Engineering or Manufacturing,User experience specialist,,85000,3000.0,USD,,The bonus fluctuates depending on company performance.,USA,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman,White,88000.0,5
