,age,country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
83,25-34,USA,College Degree,Woman,White,75000.0,11,40.0792,-98.8164
84,35-44,USA,PhD,Woman,White,160000.0,2,40.0792,-98.8164
85,25-34,USA,Master's degree,Woman,White,50000.0,5,40.0792,-98.8164
86,45-54,USA,College Degree,Woman,White,85000.0,21,40.0792,-98.8164
87,35-44,USA,College Degree,Woman,White,42000.0,11,40.0792,-98.8164
88,35-44,USA,Master's degree,Woman,White,54100.0,8,40.0792,-98.8164
89,55-64,USA,College Degree,Woman,White,101500.0,21,40.0792,-98.8164
90,25-34,USA,College Degree,Woman,White,85000.0,11,40.0792,-98.8164
91,25-34,USA,College Degree,Woman,White,62000.0,5,40.0792,-98.8164
92,35-44,USA,College Degree,Man,White,130000.0,11,40.0792,-98.8164
93,55-64,USA,Master's degree,Woman,White,55000.0,21,40.0792,-98.8164
94,25-34,USA,College Degree,Woman,White,59015.0,8,40.0792,-98.8164
95,25-34,USA,College Degree,Woman,White,74000.0,5,40.0792,-98.8164
96,35-44,USA,College Degree,Woman,White,100000.0,21,40.0792,-98.8164
97,35-44,USA,College Degree,Woman,White,38000.0,11,40.0792,-98.8164
98,35-44,USA,College Degree,Woman,White,58500.0,8,40.0792,-98.8164
99,35-44,USA,College Degree,Woman,White,85000.0,11,40.0792,-98.8164
100,35-44,USA,College Degree,Woman,White,62000.0,11,40.0792,-98.8164
101,25-34,USA,Master's degree,Non-binary,White,74000.0,2,40.0792,-98.8164
102,25-34,USA,College Degree,Woman,White,64000.0,2,40.0792,-98.8164
103,35-44,USA,College Degree,Woman,White,92000.0,8,40.0792,-98.8164
104,35-44,USA,Master's degree,Man,White,42000.0,11,40.0792,-98.8164
105,45-54,USA,Master's degree,Woman,White,100000.0,11,40.0792,-98.8164
106,18-24,USA,Master's degree,Woman,White,63129.0,1,40.0792,-98.8164
107,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",130000.0,5,40.0792,-98.8164
108,25-34,USA,Master's degree,Woman,White,60000.0,5,40.0792,-98.8164
109,35-44,USA,College Degree,Woman,White,37000.0,5,40.0792,-98.8164
110,25-34,USA,College Degree,Woman,White,88000.0,5,40.0792,-98.8164
111,35-44,USA,College Degree,Woman,White,65000.0,11,40.0792,-98.8164
112,25-34,USA,Master's degree,Woman,White,92000.0,5,40.0792,-98.8164
113,25-34,USA,College Degree,Man,White,69000.0,2,40.0792,-98.8164
114,35-44,USA,College Degree,Woman,White,35000.0,11,40.0792,-98.8164
115,25-34,USA,College Degree,Woman,White,75000.0,5,40.0792,-98.8164
116,25-34,USA,College Degree,Man,"Hispanic, Latino, or Spanish origin",122500.0,5,40.0792,-98.8164
117,25-34,USA,Master's degree,Prefer not to answer,"Hispanic, Latino, or Spanish origin",119000.0,5,40.0792,-98.8164
118,35-44,USA,Master's degree,Woman,White,70000.0,11,40.0792,-98.8164
119,45-54,USA,College Degree,Woman,White,145000.0,11,40.0792,-98.8164
120,35-44,USA,College Degree,Woman,White,400000.0,11,40.0792,-98.8164
121,35-44,USA,Master's degree,Woman,White,61200.0,11,40.0792,-98.8164
122,35-44,USA,College Degree,Woman,Black or African American,70000.0,5,40.0792,-98.8164
123,25-34,USA,College Degree,Woman,White,52000.0,5,40.0792,-98.8164
124,25-34,USA,Master's degree,Woman,White,57000.0,2,40.0792,-98.8164
125,25-34,USA,Master's degree,Woman,White,83200.0,8,40.0792,-98.8164
126,18-24,USA,College Degree,Woman,Black or African American,77500.0,2,40.0792,-98.8164
127,35-44,USA,College Degree,Woman,Another option not listed here or prefer not to answer,225000.0,11,40.0792,-98.8164
128,45-54,USA,PhD,Woman,Asian or Asian American,220000.0,11,40.0792,-98.8164
129,25-34,USA,Master's degree,Woman,White,80000.0,2,40.0792,-98.8164
130,25-34,USA,Master's degree,Woman,White,52500.0,5,40.0792,-98.8164
131,25-34,USA,College Degree,Woman,White,94000.0,2,40.0792,-98.8164
132,25-34,USA,College Degree,Woman,White,57000.0,5,40.0792,-98.8164
133,35-44,USA,College Degree,Woman,White,91000.0,5,40.0792,-98.8164
134,35-44,USA,College Degree,Woman,White,90000.0,11,40.0792,-98.8164
135,25-34,USA,College Degree,Woman,Asian or Asian American,76000.0,2,40.0792,-98.8164
136,25-34,USA,Master's degree,Woman,White,75000.0,5,40.0792,-98.8164
137,25-34,USA,PhD,Non-binary,White,62500.0,2,40.0792,-98.8164
138,35-44,USA,Master's degree,Woman,White,80000.0,11,40.0792,-98.8164
139,35-44,USA,Master's degree,Woman,White,70000.0,11,40.0792,-98.8164
140,25-34,USA,Master's degree,Woman,White,34299.0,2,40.0792,-98.8164
141,35-44,USA,Master's degree,Woman,White,50000.0,11,40.0792,-98.8164
142,35-44,USA,Master's degree,Woman,White,125000.0,2,40.0792,-98.8164
143,55-64,USA,Master's degree,Woman,White,275000.0,31,40.0792,-98.8164
144,35-44,USA,College Degree,Woman,White,148000.0,11,40.0792,-98.8164
145,25-34,USA,College Degree,Woman,White,54580.0,11,40.0792,-98.8164
146,45-54,USA,Master's degree,Man,White,71000.0,11,40.0792,-98.8164
147,25-34,USA,College Degree,Woman,White,53000.0,2,40.0792,-98.8164
148,35-44,USA,Master's degree,Woman,White,82160.0,11,40.0792,-98.8164
149,18-24,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",25700.0,5,40.0792,-98.8164
150,35-44,USA,Master's degree,Woman,White,77000.0,11,40.0792,-98.8164
151,35-44,USA,Master's degree,Woman,White,50000.0,5,40.0792,-98.8164
152,25-34,USA,College Degree,Non-binary,White,31616.0,2,40.0792,-98.8164
153,35-44,USA,Master's degree,Woman,White,97000.0,8,40.0792,-98.8164
154,18-24,USA,College Degree,Woman,White,62000.0,1,40.0792,-98.8164
155,25-34,USA,College Degree,Non-binary,White,71000.0,5,40.0792,-98.8164
156,45-54,USA,Master's degree,Woman,White,88000.0,11,40.0792,-98.8164
157,25-34,USA,Master's degree,Woman,White,76000.0,2,40.0792,-98.8164
158,35-44,USA,College Degree,Non-binary,White,195000.0,21,40.0792,-98.8164
159,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",45760.0,2,40.0792,-98.8164
160,25-34,USA,College Degree,Woman,White,86000.0,5,40.0792,-98.8164
161,25-34,USA,Master's degree,Woman,White,56000.0,5,40.0792,-98.8164
162,25-34,USA,Master's degree,Woman,White,125000.0,5,40.0792,-98.8164
163,35-44,USA,College Degree,Woman,White,175000.0,11,40.0792,-98.8164
164,25-34,USA,College Degree,Woman,White,60000.0,2,40.0792,-98.8164
165,25-34,USA,Master's degree,Woman,White,190000.0,1,40.0792,-98.8164
166,45-54,USA,PhD,Woman,White,94000.0,21,40.0792,-98.8164
167,35-44,USA,College Degree,Woman,White,49000.0,11,40.0792,-98.8164
168,35-44,USA,College Degree,Woman,White,120000.0,11,40.0792,-98.8164
169,25-34,USA,Master's degree,Non-binary,White,28000.0,2,40.0792,-98.8164
170,35-44,USA,College Degree,Woman,White,40575.0,8,40.0792,-98.8164
171,25-34,USA,Master's degree,Woman,White,75500.0,8,40.0792,-98.8164
172,25-34,USA,College Degree,Woman,White,127000.0,5,40.0792,-98.8164
173,35-44,USA,Master's degree,Woman,White,70000.0,5,40.0792,-98.8164
174,25-34,USA,College Degree,Woman,White,111400.0,5,40.0792,-98.8164
175,55-64,USA,College Degree,Woman,White,61000.0,31,40.0792,-98.8164
176,55-64,USA,Master's degree,Woman,White,47250.0,5,40.0792,-98.8164
177,35-44,USA,College Degree,Man,White,100000.0,11,40.0792,-98.8164
178,35-44,USA,College Degree,Woman,White,45000.0,11,40.0792,-98.8164
179,25-34,USA,Master's degree,Woman,White,78167.0,5,40.0792,-98.8164
180,25-34,USA,College Degree,Woman,White,187500.0,8,40.0792,-98.8164
181,45-54,USA,Master's degree,Woman,White,124000.0,21,40.0792,-98.8164
182,45-54,USA,College Degree,Man,White,108000.0,21,40.0792,-98.8164
183,35-44,USA,Master's degree,Woman,White,115000.0,11,40.0792,-98.8164
184,35-44,USA,Master's degree,Woman,White,83000.0,5,40.0792,-98.8164
185,25-34,USA,Master's degree,Woman,White,124000.0,8,40.0792,-98.8164
186,25-34,USA,Master's degree,Woman,White,45000.0,5,40.0792,-98.8164
187,25-34,USA,PhD,Woman,White,93000.0,5,40.0792,-98.8164
188,35-44,USA,Master's degree,Woman,White,134550.0,11,40.0792,-98.8164
189,35-44,USA,Master's degree,Woman,White,71697.0,5,40.0792,-98.8164
190,35-44,USA,College Degree,Woman,White,120000.0,11,40.0792,-98.8164
191,25-34,USA,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin",52000.0,5,40.0792,-98.8164
192,45-54,USA,College Degree,Man,Asian or Asian American,49840.0,21,40.0792,-98.8164
193,45-54,USA,Master's degree,Woman,White,150000.0,21,40.0792,-98.8164
194,25-34,USA,College Degree,Woman,Asian or Asian American,105000.0,2,40.0792,-98.8164
195,35-44,USA,Master's degree,Woman,Asian or Asian American,105500.0,11,40.0792,-98.8164
196,25-34,USA,College Degree,Man,White,150000.0,5,40.0792,-98.8164
197,45-54,USA,College Degree,Woman,White,125000.0,8,40.0792,-98.8164
198,35-44,USA,Master's degree,Woman,White,63000.0,11,40.0792,-98.8164
199,25-34,USA,Master's degree,Woman,White,112000.0,5,40.0792,-98.8164
200,45-54,USA,Master's degree,Woman,Black or African American,120000.0,21,40.0792,-98.8164
201,18-24,USA,College Degree,Woman,White,45000.0,1,40.0792,-98.8164
202,35-44,USA,Master's degree,Woman,White,75000.0,8,40.0792,-98.8164
203,25-34,USA,College Degree,Woman,Black or African American,64000.0,1,40.0792,-98.8164
204,45-54,USA,College Degree,Woman,White,84000.0,11,40.0792,-98.8164
205,25-34,USA,Master's degree,Woman,White,78000.0,2,40.0792,-98.8164
206,18-24,USA,Master's degree,Woman,White,70000.0,2,40.0792,-98.8164
207,65 or over,USA,Master's degree,Woman,White,120000.0,31,40.0792,-98.8164
208,35-44,USA,College Degree,Woman,White,114400.0,11,40.0792,-98.8164
209,25-34,USA,College Degree,Woman,White,58300.0,2,40.0792,-98.8164
210,25-34,USA,College Degree,Woman,White,700000.0,5,40.0792,-98.8164
211,35-44,USA,Master's degree,Prefer not to answer,Another option not listed here or prefer not to answer,345000.0,21,40.0792,-98.8164
212,45-54,USA,College Degree,Woman,White,143000.0,8,40.0792,-98.8164
213,35-44,USA,College Degree,Woman,White,141000.0,11,40.0792,-98.8164
214,45-54,USA,College Degree,Man,White,128500.0,21,40.0792,-98.8164
215,35-44,USA,College Degree,Woman,White,38480.0,5,40.0792,-98.8164
216,35-44,USA,Master's degree,Man,White,37000.0,2,40.0792,-98.8164
217,25-34,USA,Master's degree,Woman,White,55000.0,2,40.0792,-98.8164
218,25-34,USA,College Degree,Woman,White,53500.0,8,40.0792,-98.8164
219,25-34,USA,Master's degree,Woman,Asian or Asian American,49600.0,2,40.0792,-98.8164
220,25-34,USA,College Degree,Woman,White,50000.0,5,40.0792,-98.8164
221,25-34,USA,Master's degree,Woman,White,63500.0,2,40.0792,-98.8164
222,25-34,USA,College Degree,Woman,White,65000.0,5,40.0792,-98.8164
223,25-34,USA,College Degree,Woman,White,43680.0,2,40.0792,-98.8164
224,25-34,USA,College Degree,Woman,White,67700.0,5,40.0792,-98.8164
225,35-44,USA,Master's degree,Woman,White,75000.0,11,40.0792,-98.8164
226,18-24,USA,College Degree,Woman,White,75500.0,1,40.0792,-98.8164
227,25-34,USA,College Degree,Woman,White,38000.0,8,40.0792,-98.8164
228,35-44,USA,College Degree,Woman,White,105000.0,11,40.0792,-98.8164
229,35-44,USA,PhD,Woman,White,309000.0,8,40.0792,-98.8164
230,35-44,USA,College Degree,Woman,White,77000.0,5,40.0792,-98.8164
231,35-44,USA,College Degree,Woman,White,55000.0,11,40.0792,-98.8164
232,25-34,USA,Master's degree,Prefer not to answer,White,67200.0,2,40.0792,-98.8164
233,55-64,USA,College Degree,Woman,White,43500.0,11,40.0792,-98.8164
234,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",94000.0,5,40.0792,-98.8164
235,55-64,USA,Master's degree,Woman,White,173000.0,21,40.0792,-98.8164
236,25-34,USA,PhD,Woman,White,125500.0,5,40.0792,-98.8164
237,55-64,USA,College Degree,Man,White,186000.0,31,40.0792,-98.8164
238,25-34,USA,College Degree,Woman,White,51000.0,5,40.0792,-98.8164
239,25-34,USA,College Degree,Man,White,62800.0,5,40.0792,-98.8164
240,25-34,USA,College Degree,Woman,Asian or Asian American,186000.0,8,40.0792,-98.8164
241,25-34,USA,Master's degree,Woman,White,71750.0,8,40.0792,-98.8164
242,35-44,USA,Master's degree,Man,Asian or Asian American,70000.0,2,40.0792,-98.8164
243,35-44,USA,Master's degree,Woman,White,87000.0,8,40.0792,-98.8164
244,35-44,USA,College Degree,Woman,White,157000.0,21,40.0792,-98.8164
245,25-34,USA,College Degree,Woman,White,42120.0,2,40.0792,-98.8164
246,25-34,USA,Master's degree,Woman,White,70000.0,2,40.0792,-98.8164
247,25-34,USA,College Degree,Man,White,85000.0,8,40.0792,-98.8164
248,35-44,USA,College Degree,Woman,White,89000.0,8,40.0792,-98.8164
249,35-44,USA,College Degree,Woman,White,92000.0,11,40.0792,-98.8164
250,45-54,USA,PhD,Woman,White,94000.0,21,40.0792,-98.8164
251,45-54,USA,Master's degree,Woman,White,104000.0,21,40.0792,-98.8164
252,45-54,USA,College Degree,Woman,White,96800.0,8,40.0792,-98.8164
253,35-44,USA,College Degree,Woman,White,52000.0,8,40.0792,-98.8164
254,25-34,USA,College Degree,Woman,White,68000.0,8,40.0792,-98.8164
255,45-54,USA,College Degree,Man,White,350000.0,11,40.0792,-98.8164
256,25-34,USA,Master's degree,Woman,White,137000.0,5,40.0792,-98.8164
257,35-44,USA,College Degree,Woman,White,43000.0,5,40.0792,-98.8164
258,45-54,USA,College Degree,Woman,White,36712.0,5,40.0792,-98.8164
259,35-44,USA,College Degree,Woman,White,112000.0,8,40.0792,-98.8164
260,25-34,USA,Master's degree,Woman,White,60000.0,8,40.0792,-98.8164
261,35-44,USA,High School,Woman,White,50000.0,2,40.0792,-98.8164
262,18-24,USA,College Degree,Woman,White,52000.0,1,40.0792,-98.8164
263,25-34,USA,Master's degree,Woman,White,57000.0,2,40.0792,-98.8164
264,25-34,USA,College Degree,Woman,White,52500.0,5,40.0792,-98.8164
265,25-34,USA,College Degree,Woman,White,54000.0,2,40.0792,-98.8164
266,25-34,USA,Master's degree,Woman,White,56000.0,8,40.0792,-98.8164
267,25-34,USA,PhD,Woman,White,64000.0,5,40.0792,-98.8164
268,18-24,USA,College Degree,Woman,White,39000.0,2,40.0792,-98.8164
269,25-34,USA,College Degree,Woman,White,42000.0,2,40.0792,-98.8164
270,35-44,USA,College Degree,Woman,White,68000.0,11,40.0792,-98.8164
271,25-34,USA,College Degree,Woman,White,127000.0,8,40.0792,-98.8164
272,25-34,USA,Master's degree,Woman,White,105000.0,5,40.0792,-98.8164
273,45-54,USA,PhD,Woman,White,146000.0,11,40.0792,-98.8164
274,25-34,USA,PhD,Woman,White,102500.0,8,40.0792,-98.8164
275,25-34,USA,College Degree,Woman,White,140000.0,2,40.0792,-98.8164
276,25-34,USA,College Degree,Woman,White,145000.0,5,40.0792,-98.8164
277,45-54,USA,Master's degree,Woman,White,66000.0,5,40.0792,-98.8164
278,25-34,USA,College Degree,Woman,White,61800.0,5,40.0792,-98.8164
279,25-34,USA,Master's degree,Woman,White,50000.0,11,40.0792,-98.8164
280,25-34,USA,College Degree,Woman,White,70000.0,5,40.0792,-98.8164
281,45-54,USA,Master's degree,Woman,White,128300.0,21,40.0792,-98.8164
282,25-34,USA,Master's degree,Woman,White,107000.0,5,40.0792,-98.8164
283,45-54,USA,PhD,Woman,White,600000.0,21,40.0792,-98.8164
284,25-34,USA,Master's degree,Man,"Hispanic, Latino, or Spanish origin",121000.0,5,40.0792,-98.8164
285,35-44,USA,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",125000.0,8,40.0792,-98.8164
286,35-44,USA,College Degree,Man,White,82000.0,11,40.0792,-98.8164
287,35-44,USA,College Degree,Woman,White,100000.0,8,40.0792,-98.8164
288,45-54,USA,College Degree,Woman,White,80000.0,2,40.0792,-98.8164
289,25-34,USA,College Degree,Woman,White,200000.0,8,40.0792,-98.8164
290,35-44,USA,Master's degree,Woman,White,188434.0,8,40.0792,-98.8164
291,35-44,USA,College Degree,Woman,White,120000.0,2,40.0792,-98.8164
292,25-34,USA,College Degree,Woman,White,92000.0,8,40.0792,-98.8164
293,35-44,USA,Master's degree,Woman,White,84000.0,11,40.0792,-98.8164
294,25-34,USA,Master's degree,Woman,White,44500.0,2,40.0792,-98.8164
295,25-34,USA,College Degree,Woman,White,107500.0,11,40.0792,-98.8164
296,45-54,USA,Master's degree,Woman,Another option not listed here or prefer not to answer,155000.0,11,40.0792,-98.8164
297,25-34,USA,College Degree,Woman,Asian or Asian American,82500.0,5,40.0792,-98.8164
298,25-34,USA,College Degree,Non-binary,White,34000.0,5,40.0792,-98.8164
299,25-34,USA,College Degree,Woman,Asian or Asian American,45000.0,2,40.0792,-98.8164
300,35-44,USA,College Degree,Woman,Another option not listed here or prefer not to answer,160000.0,21,40.0792,-98.8164
301,25-34,USA,Master's degree,Man,White,281000.0,5,40.0792,-98.8164
302,35-44,USA,College Degree,Man,Asian or Asian American,280000.0,11,40.0792,-98.8164
303,25-34,USA,College Degree,Woman,White,143000.0,5,40.0792,-98.8164
304,25-34,USA,College Degree,Non-binary,White,83000.0,1,40.0792,-98.8164
305,25-34,USA,Master's degree,Woman,White,58800.0,2,40.0792,-98.8164
306,35-44,USA,Master's degree,Woman,White,101360.0,5,40.0792,-98.8164
307,35-44,USA,College Degree,Man,White,103000.0,11,40.0792,-98.8164
308,35-44,USA,College Degree,Woman,White,204000.0,11,40.0792,-98.8164
309,25-34,USA,Master's degree,Woman,White,80000.0,11,40.0792,-98.8164
310,25-34,USA,PhD,Woman,White,68805.0,8,40.0792,-98.8164
311,35-44,USA,Master's degree,Woman,White,128700.0,8,40.0792,-98.8164
312,35-44,USA,Master's degree,Woman,White,54000.0,1,40.0792,-98.8164
313,25-34,USA,Master's degree,Woman,White,36280.0,5,40.0792,-98.8164
314,35-44,USA,Master's degree,Woman,White,165000.0,11,40.0792,-98.8164
315,45-54,USA,Master's degree,Woman,White,102000.0,21,40.0792,-98.8164
316,55-64,USA,College Degree,Man,White,161000.0,8,40.0792,-98.8164
317,35-44,USA,Master's degree,Woman,White,110000.0,11,40.0792,-98.8164
318,35-44,USA,Master's degree,Woman,White,72100.0,8,40.0792,-98.8164
319,35-44,USA,Master's degree,Woman,White,78000.0,11,40.0792,-98.8164
320,45-54,USA,College Degree,Woman,White,160000.0,21,40.0792,-98.8164
321,55-64,USA,College Degree,Woman,White,104000.0,21,40.0792,-98.8164
322,25-34,USA,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",67800.0,2,40.0792,-98.8164
323,35-44,USA,PhD,Woman,White,70600.0,5,40.0792,-98.8164
324,45-54,USA,College Degree,Woman,White,72000.0,11,40.0792,-98.8164
325,35-44,USA,College Degree,Woman,White,40000.0,11,40.0792,-98.8164
326,35-44,USA,Master's degree,Woman,White,95000.0,8,40.0792,-98.8164
327,55-64,USA,Master's degree,Woman,White,165000.0,31,40.0792,-98.8164
328,55-64,USA,Master's degree,Woman,White,40317.0,21,40.0792,-98.8164
329,35-44,USA,College Degree,Woman,White,53900.0,11,40.0792,-98.8164
330,25-34,USA,Master's degree,Woman,White,59400.0,2,40.0792,-98.8164
331,18-24,USA,College Degree,Man,White,54075.0,1,40.0792,-98.8164
332,25-34,USA,Master's degree,Woman,White,53895.0,2,40.0792,-98.8164
333,35-44,USA,College Degree,Woman,White,81000.0,11,40.0792,-98.8164
334,25-34,USA,Master's degree,Woman,White,67080.0,2,40.0792,-98.8164
335,25-34,USA,Master's degree,Woman,White,72000.0,8,40.0792,-98.8164
336,25-34,USA,College Degree,Woman,Black or African American,84618.0,2,40.0792,-98.8164
337,35-44,USA,College Degree,Woman,White,56000.0,21,40.0792,-98.8164
338,55-64,USA,College Degree,Woman,Another option not listed here or prefer not to answer,74500.0,11,40.0792,-98.8164
339,35-44,USA,Master's degree,Woman,White,110000.0,5,40.0792,-98.8164
340,35-44,USA,College Degree,Woman,White,157000.0,11,40.0792,-98.8164
341,25-34,USA,Master's degree,Non-binary,White,38830.0,5,40.0792,-98.8164
342,25-34,USA,College Degree,Woman,White,53000.0,8,40.0792,-98.8164
343,35-44,USA,Master's degree,Woman,White,137000.0,5,40.0792,-98.8164
344,35-44,USA,Master's degree,Woman,White,125000.0,11,40.0792,-98.8164
345,35-44,USA,College Degree,Woman,White,54000.0,5,40.0792,-98.8164
346,18-24,USA,College Degree,Woman,White,32000.0,2,40.0792,-98.8164
347,25-34,USA,College Degree,Woman,White,63000.0,5,40.0792,-98.8164
348,25-34,USA,College Degree,Woman,White,94000.0,5,40.0792,-98.8164
